$Y:\mLB_TP2\08_Projektbearbeitung\utg\Pruefung\Druckproben\Druckversuch_DIN50106.zs2
Vorkraft                                500 N
Prüfgeschwindigkeit                     0.0067 1/s
Durchmesser                             9.95 mm
Probenhoehe                             13.99 mm
$
         Standardweg;       Standardkraft;           Pruefzeit
 9.697487257654e-011; 5.386662597656e+002; 6.103527994128e-007
 9.697487257654e-011; 5.372355346680e+002; 1.200006082654e-001
 9.697487257654e-011; 5.383085937500e+002; 1.600006073713e-001
 9.697487257654e-011; 5.375932617188e+002; 2.200006097555e-001
 9.697487257654e-011; 5.372355346680e+002; 2.600006163120e-001
 9.697487257654e-011; 5.386662597656e+002; 3.200006186962e-001
 9.697487257654e-011; 5.372355346680e+002; 3.600006103516e-001
-2.476061490597e-005; 5.375932617188e+002; 4.200006127357e-001
 9.697487257654e-011; 5.393816528320e+002; 4.600006043911e-001
 1.485643733758e-004; 5.411700439453e+002; 5.000005960464e-001
 2.971286303364e-004; 5.443891601563e+002; 5.200006365776e-001
 4.704536113422e-004; 5.490390014648e+002; 5.400006175041e-001
 6.685393163934e-004; 5.558349609375e+002; 5.600005984306e-001
 9.409071644768e-004; 5.633461914063e+002; 5.800006389618e-001
 1.238035736606e-003; 5.722882080078e+002; 6.000006198883e-001
 1.535164192319e-003; 5.823032836914e+002; 6.200006008148e-001
 1.906574936584e-003; 5.930336914063e+002; 6.400005817413e-001
 2.327507128939e-003; 6.051947631836e+002; 6.600006222725e-001
 2.773199928924e-003; 6.198596801758e+002; 6.800006031990e-001
 3.293174784631e-003; 6.348822631836e+002; 7.000005841255e-001
 3.813149640337e-003; 6.502625122070e+002; 7.200006246567e-001
 4.382646176964e-003; 6.685041503906e+002; 7.400006055832e-001
 4.927381873131e-003; 6.871035156250e+002; 7.600005865097e-001
 5.620681680739e-003; 7.064182739258e+002; 7.800006270409e-001
 6.313981488347e-003; 7.271636962891e+002; 8.000006079674e-001
 7.032042369246e-003; 7.500552368164e+002; 8.200005888939e-001
 7.774863857776e-003; 7.743775024414e+002; 8.400006294250e-001
 8.616727776825e-003; 7.990574340820e+002; 8.600006103516e-001
 9.483353234828e-003; 8.248103637695e+002; 8.800005912781e-001
 1.034997776151e-002; 8.548555297852e+002; 9.000006318092e-001
 1.126612443477e-002; 8.849006347656e+002; 9.200006127357e-001
 1.230607368052e-002; 9.153034667969e+002; 9.400005936623e-001
 1.327174156904e-002; 9.489254150391e+002; 9.600006341934e-001
 1.433645188808e-002; 9.832626953125e+002; 9.800006151199e-001
 1.542592328042e-002; 1.018315368652e+003; 1.000000596046e+000
 1.649063453078e-002; 1.054798706055e+003; 1.020000576973e+000
 1.770390942693e-002; 1.094143554688e+003; 1.040000557899e+000
 1.891718432307e-002; 1.133130615234e+003; 1.060000658035e+000
 2.015521936119e-002; 1.175694580078e+003; 1.080000638962e+000
 2.144277654588e-002; 1.216470092773e+003; 1.100000619888e+000
 2.277985587716e-002; 1.260822509766e+003; 1.120000600815e+000
 2.414169348776e-002; 1.303028686523e+003; 1.140000581741e+000
 2.552829496562e-002; 1.347738769531e+003; 1.160000562668e+000
 2.703869715333e-002; 1.391018066406e+003; 1.180000662804e+000
 2.852434106171e-002; 1.434297363281e+003; 1.200000643730e+000
 3.003474324942e-002; 1.475788208008e+003; 1.220000624657e+000
 3.161942958832e-002; 1.518352172852e+003; 1.240000605583e+000
 3.322887420654e-002; 1.558770019531e+003; 1.260000586510e+000
 3.481356054544e-002; 1.599903198242e+003; 1.280000567436e+000
 3.652204945683e-002; 1.642467163086e+003; 1.300000667572e+000
 3.825530037284e-002; 1.686104125977e+003; 1.320000648499e+000
 3.996378928423e-002; 1.729741088867e+003; 1.340000629425e+000
 4.179608076811e-002; 1.775166503906e+003; 1.360000610352e+000
 4.362837597728e-002; 1.820234252930e+003; 1.380000591278e+000
 4.551018774509e-002; 1.866375000000e+003; 1.400000572205e+000
 4.744152352214e-002; 1.911800292969e+003; 1.420000553131e+000
 4.924905672669e-002; 1.957583374023e+003; 1.440000653267e+000
 5.115563049912e-002; 2.003008789063e+003; 1.460000634193e+000
 5.301268398762e-002; 2.049149414063e+003; 1.480000615120e+000
 5.489449948072e-002; 2.094932617188e+003; 1.500000596046e+000
 5.680107325315e-002; 2.140715576172e+003; 1.520000576973e+000
 5.863336473703e-002; 2.186498779297e+003; 1.540000557899e+000
 6.056470051408e-002; 2.232639404297e+003; 1.560000658035e+000
 6.242175400257e-002; 2.277349365234e+003; 1.580000638962e+000
 6.430356949568e-002; 2.321701660156e+003; 1.600000619888e+000
